pattern_name,permalink
Casual Business,casual-business
Peace Knot Socks,peace-knot-socks
Pan Galactic Helix,pan-galactic-helix
Cowabunga Socks,cowabunga-socks
Tantamount,tantamount-2
Mashad,mashad-2
Fire Swamp,fire-swamp
Postmark,postmark
Labyrinth Socks,labyrinth-socks-5
The Clamdigger's Socks,the-clamdiggers-socks
Ex Nine socks,ex-nine-socks
Kelias,kelias-2
Eye of Partridge Hiking Socks,eye-of-partridge-hiking-socks
Let's Knit Socks,lets-knit-socks
Killington Socks,killington-socks
Fireside Cable Socks,fireside-cable-socks
Socks called Cloverly,socks-called-cloverly
My Chevy Socks,my-chevy-socks
Ninja Run,ninja-run
Stay in Line,stay-in-line
Lewaro,lewaro
Galina Socks,galina-socks
Pool Party Socks,pool-party-socks
Quilting Bee Socks,quilting-bee-socks
BEWARE socks,beware-socks
A Drawer Full,a-drawer-full
The Loft Slipper Socks,the-loft-slipper-socks
Bauble Extravaganza Cuff Down,bauble-extravaganza-cuff-down
Timeless Arrows Socks,timeless-arrows-socks
Ocean Waves Socks,ocean-waves-socks-2
Varsity Beekeeper Socks,varsity-beekeeper-socks
Stargazing with Vincent,stargazing-with-vincent
Dots and Dashes Socks,dots-and-dashes-socks
Henhouse Socks,henhouse-socks
Tower Stairs,tower-stairs
SOHCAHTOA,sohcahtoa
Balsam Point Socks,balsam-point-socks
Twist and Sprout,twist-and-sprout
Crab Tracks,crab-tracks
Retro 90s DK Socks,retro-90s-dk-socks
Step In DK Socks,step-in-dk-socks
my sock recipe,my-sock-recipe
Deimatic Socks,deimatic-socks
Yassify,yassify
Bimble Socks,bimble-socks
Sundown Sock Set,sundown-sock-set
Izzy Socks,izzy-socks
Wiggle Your Toes Socks,wiggle-your-toes-socks
The Patch Socks,the-patch-socks
Newago Cove Socks,newago-cove-socks
Christmas Sweets Socks,christmas-sweets-socks
Kent of Hearts Socks,kent-of-hearts-socks
Patricia Socks,patricia-socks
Rosie Socks,rosie-socks-3
Pudding Pipe Socks,pudding-pipe-socks
Happiness Socks,happiness-socks-3
Peppermint Sticks Ice Cream Socks,peppermint-sticks-ice-cream-socks
Knitwinter Nights,knitwinter-nights
Pine Bough Socks,pine-bough-socks
Jeff's Groovy 70s Socks,jeffs-groovy-70s-socks
Frosty Cable Socks,frosty-cable-socks
Raven Wings Too,raven-wings-too
Just Add Mohair Socks,just-add-mohair-socks
Sunny Side Up Socks,sunny-side-up-socks-3
Hyacinth,hyacinth-29
Broken Rib or Garter Rib?,broken-rib-or-garter-rib
Ornithopters,ornithopters
Lady Jessica,lady-jessica-3
Ilga's Socks,ilgas-socks
Gothic Spire Sock,gothic-spire-sock
Widdershins,widdershins
Mamluke Socks,mamluke-socks
Welsh Country Stockings,welsh-country-stockings
Hanauma Bay Socks,hanauma-bay-socks
Chalet Socks,chalet-socks
Easy Toddler Socks,easy-toddler-socks
Baby's First Sock,babys-first-sock
Bartholomew's Tantalizing Socks,bartholomews-tantalizing-socks
Niblet Socks,niblet-socks
Ridgeline Master Sock,ridgeline-master-sock
Seeded Rib Socks,seeded-rib-socks
Belle Epoque,belle-epoque-3
Simple Toe-Up Socks in Four Sizes,simple-toe-up-socks-in-four-sizes
Water Cube Socks,water-cube-socks
Mad About Plaid Socks,mad-about-plaid-socks
Nadine,nadine-2
K2 Basic Socks (Widdershins Revisited),k2-basic-socks-widdershins-revisited
Sam,sam-5
Goneril & Regan,goneril--regan
Best Friend Socks,best-friend-socks-2
Nebula,nebula
Outside In,outside-in
Busy Bees - August,busy-bees---august
Butterfly Garden,butterfly-garden-5
Moonchild,moonchild
Karo Socken,karo-socken
Yellow Brick Road,yellow-brick-road
Tea and Scandal Socks,tea-and-scandal-socks
Diamond Chain Toe Up Socks,diamond-chain-toe-up-socks
Victory Socks,victory-socks
Supernova,supernova-3
Cowasocky,cowasocky
Toe-Up Travelers,toe-up-travelers
Victorian Birdcage Socks,victorian-birdcage-socks
Grace,grace-35
Hermione's Half Blood Prince Socks,hermiones-half-blood-prince-socks
Eowyn Socks,eowyn-socks-2
"Lord, What Fools",lord-what-fools
Roadside Attraction,roadside-attraction
Turmeric Socks,turmeric-socks
Lycaena virgaureae Sock,lycaena-virgaureae-sock
Octopodes,octopodes
My First Socks Using Magic Loop,my-first-socks-using-magic-loop
Kam Chu,kam-chu
Couplet,couplet
Wheatly Socks,wheatly-socks
Goldberry's Socks,goldberrys-socks
Coexist,coexist
Lord Varys,lord-varys
Simply Ribbed Sock,simply-ribbed-sock
Equus Socks,equus-socks
Change it Up II,change-it-up-ii
Longbottom Leaf,longbottom-leaf
Thompson River Socks,thompson-river-socks
Strands Of Gold,strands-of-gold
Bespoke Vanilla Socks (Sport),bespoke-vanilla-socks-sport
Living Life in Peace,living-life-in-peace
French Vanilla Socks,french-vanilla-socks
Nomia,nomia
Cinderella Socks,cinderella-socks-2
Norton and Trixie,norton-and-trixie
Oberon,oberon-6
Spattergroit,spattergroit
Pushmi-Pullyu Socks,pushmi-pullyu-socks
Serab,serab-2
Joshaqan,joshaqan-2
Sweet Potato Pie,sweet-potato-pie
Cornlette Socks,cornlette-socks
St. Pat's Socks,st-pats-socks
Sock A Day Socks,sock-a-day-socks
Super Fit Socks,super-fit-socks
A Waistcoat of Diamonds,a-waistcoat-of-diamonds
Flint Ridge Socks,flint-ridge-socks
Vinda Socks,vinda-socks
Bicycle Race,bicycle-race-2
In a Hole In the Ground,in-a-hole-in-the-ground
Locomotion,locomotion
Tea at Bertram's socks,tea-at-bertrams-socks
Snowed In Socks,snowed-in-socks
Rostrata,rostrata-2
Kissing Cardinals Socks,kissing-cardinals-socks
Basic Socks on Two Circs,basic-socks-on-two-circs
Goon Squad,goon-squad
Chasm,chasm-3
Autumn Dawn Socks,autumn-dawn-socks
Walking into Winter,walking-into-winter
Step Aside,step-aside
Plaid About You,plaid-about-you
Colsie,colsie
Easy Knit Spiral Socks,easy-knit-spiral-socks
ACNH Nook Inc Socks,acnh-nook-inc-socks
Broken Ribs,broken-ribs
Philodendron Socks,philodendron-socks
Tessellate Socks,tessellate-socks
Autumn Dreamer Socks,autumn-dreamer-socks
Lady Cordelia,lady-cordelia
Chirp,chirp-4
Walking with Edvard,walking-with-edvard
Little Stitious Slipper Socks,little-stitious-slipper-socks
Cobblesocks,cobblesocks
DK Success Socks,dk-success-socks
Genesis Socks,genesis-socks
Alder Socks,alder-socks
Cabin Bound Socks,cabin-bound-socks
Pastiche,pastiche-4
Dotty Bed Socks,dotty-bed-socks
Knotty lace Socks,knotty-lace-socks
Into the Garden Socks,into-the-garden-socks
Red 5 Standing By,red-5-standing-by
Quiet Afternoon,quiet-afternoon
Woodland Dream Socks,woodland-dream-socks
Red Rock Sunset,red-rock-sunset
Seaward Flow,seaward-flow
Gentleman’s Knitted Sock,gentlemans-knitted-sock
Oddie Socks,oddie-socks
Breathwork (Inhale),breathwork-inhale
Standing on My Tip Toes,standing-on-my-tip-toes
Into the Forest Socks,into-the-forest-socks-2
And Other Stories,and-other-stories-2
Boba Feet,boba-feet
Garden Wall Socks,garden-wall-socks-2
Lombard Socks: Textureful,lombard-socks-textureful
Ridgeline Boot Socks,ridgeline-boot-socks
Fizz Socks,fizz-socks
Edge of Sanity,edge-of-sanity
Therm-it,therm-it
I Have Confidence Socks,i-have-confidence-socks
Stripesong Socks,stripesong-socks
Xanthe's Socks,xanthes-socks
Two Heels And A Toe,two-heels-and-a-toe
Welly's Socks,wellys-socks
Sockwave,sockwave
Arizona,arizona-7
Marriage of Convenience Socks,marriage-of-convenience-socks
Thiccules Socks,thiccules-socks
Choco socks,choco-socks
Grinch's Heart Socks,grinchs-heart-socks-2
Melange and Amal,melange-and-amal
Stormlight Socks,stormlight-socks-2
Wild Grapeseed Socks,wild-grapeseed-socks
Lucky Rabbit,lucky-rabbit-2
Fragaria Socks,fragaria-socks
Twosome Socks,twosome-socks
Boots With The Fern Socks,boots-with-the-fern-socks-2
Open Book Socks,open-book-socks
Paint Brush Socks & Cup Cozy,paint-brush-socks--cup-cozy
Gentleman's Shooting Stockings with Fluted Pattern,gentlemans-shooting-stockings-with-fluted-pattern
Bed Sock in Lemon Pattern Fancy Knit Stripe,bed-sock-in-lemon-pattern-fancy-knit-stripe
Huron Mountain,huron-mountain
Tiit's Socks,tiits-socks
Guitar Man Socks,guitar-man-socks
Working Socks from the Toe Up,working-socks-from-the-toe-up
Philosopher's House Socks - Upstream,philosophers-house-socks---upstream
Leaf Lace Socks,leaf-lace-socks
Iowa Crew/Cruise Socks,iowa-crew-cruise-socks
Mossinette Socks,mossinette-socks
Happiness Socks,happiness-socks
Lissajous Socks,lissajous-socks
Spring Pools,spring-pools
Copper Penny Socks,copper-penny-socks
Green River Socks,green-river-socks
Circles and Spirals Socks,circles-and-spirals-socks
Dimpled Diamonds Socks,dimpled-diamonds-socks
Summer Lovin Socks,summer-lovin-socks
Ninja,ninja-2
Family Festivities Socks,family-festivities-socks
Basic Adult Fingering Short Row Heel Sock,basic-adult-fingering-short-row-heel-sock
Jellybean's Special Socks,jellybeans-special-socks
Crocus Socks,crocus-socks-2
Sneaky Argyle Socks,sneaky-argyle-socks
Sanquhar Socks,sanquhar-socks
Fair Isle Socks,fair-isle-socks-10
Seagrass,seagrass-2
3 & 1 Slip-Stitch Socks EK00058,3--1-slip-stitch-socks-ek00058
Sake,sake-4
My Favorite Socks (Garter Rib),my-favorite-socks-garter-rib
Gimli Socks,gimli-socks
Legolas Sock,legolas-sock
Boromir Socks,boromir-socks
Basketweave Sock,basketweave-sock
Camino de Santiago,camino-de-santiago
Tundra,tundra-10
October Leaves Sock,october-leaves-sock
Favorite Toe Up Socks,favorite-toe-up-socks
10 Hour Sock,10-hour-sock
Vanessa antiopa Socks,vanessa-antiopa-socks
Skyliner Summer Socks,skyliner-summer-socks
The Forest Moon of Endor,the-forest-moon-of-endor
HMS Laconia Socks,hms-laconia-socks
Pretty Little Things ~ Socks,pretty-little-things--socks
Twisted Mirrors,twisted-mirrors
Basic Newborn Set,basic-newborn-set
Plenocaris,plenocaris
Reynard Socks,reynard-socks
Back 2 Basics - Socks,back-2-basics---socks
To the Moon and Back,to-the-moon-and-back
"Arithmophobia Socks, Top Down",arithmophobia-socks-top-down
"Procrastinatrix Socks, Top Down",procrastinatrix-socks-top-down
Basic Heel-Flap Sock,basic-heel-flap-sock
Musica: The Socks 2014,musica-the-socks-2014
Static Zing,static-zing
Do Your Job Socks,do-your-job-socks
Elizabeth's Prayer Socks,elizabeths-prayer-socks
Wide Rib Socks or 1x7 Socks,wide-rib-socks-or-1x7-socks
Moss Rib Socks,moss-rib-socks-2
Essential to Perfection,essential-to-perfection
Twinkle Twinkle Little Toes,twinkle-twinkle-little-toes
Starlight Express,starlight-express-2
Zigzag,zigzag-16
Sitting Under the Cork Tree,sitting-under-the-cork-tree
Espresso Macchiato Socks,espresso-macchiato-socks
Maypole Socks,maypole-socks
"Vanilla Socks on 9"" Circulars",vanilla-socks-on-9-circulars
Lyanna Socks,lyanna-socks
Cableship,cableship
Handspun Lida Rose Socks,handspun-lida-rose-socks
Solar Event Socks,solar-event-socks
Hearts Afire Socks,hearts-afire-socks
Blustery Day Socks,blustery-day-socks
Mod Madness,mod-madness
Salor,salor-2
Wormhole Socks,wormhole-socks
Men's Rag Hiking Sock,mens-rag-hiking-sock
Escape Reality,escape-reality
Swirl Sampler Socks,swirl-sampler-socks
Lorentz Socks,lorentz-socks
Folded Ribbon socks,folded-ribbon-socks
Sock Monkey Socks,sock-monkey-socks
Leo Socks,leo-socks
shark infested waters socks,shark-infested-waters-socks
The Potato Peel Society,the-potato-peel-society
Libra Socks,libra-socks
Strand By Me Socks,strand-by-me-socks
Moonflower Socks,moonflower-socks
Toe-Up Socks,toe-up-socks-19
inky madness,inky-madness
Cloudchaser Socks,cloudchaser-socks
'stache Socks,stache-socks
Little Moments,little-moments-2
Emma socks,emma-socks-2
Meringue Socks,meringue-socks
Tiramisu Socks,tiramisu-socks
Stronger Together Socks,stronger-together-socks
Tauriel Socks,tauriel-socks
Flea Circus Socks,flea-circus-socks
Magic Loop Socks Heavy,magic-loop-socks-heavy
King William Socks,king-william-socks
Good Riddance,good-riddance
The Spruces Socks,the-spruces-socks
Kalla,kalla-2
Painted Desert Socks,painted-desert-socks-2
Reflectivity,reflectivity
Finton Socks,finton-socks
Ride the Wave Socks,ride-the-wave-socks
Rainstorm Socks,rainstorm-socks
Country Cabin Socks,country-cabin-socks
Third Coast Socks,third-coast-socks
Sharks Say,sharks-say
Lucy Westenra,lucy-westenra
Hayride Socks,hayride-socks
Goldenrod Socks,goldenrod-socks
Pop Socks for Wearing,pop-socks-for-wearing
Rock Opera Socks,rock-opera-socks
Wave Runner,wave-runner-4
"Beach, Please!",beach-please-3
Fremont Socks,fremont-socks
Meditation Socks,meditation-socks
Floating Cables Socks,floating-cables-socks
Fall Festival Socks,fall-festival-socks
Quotidiano Socks,quotidiano-socks
Jug Band Socks,jug-band-socks
It Takes Two Socks,it-takes-two-socks
Get Comfy Slipper Socks,get-comfy-slipper-socks
Ziggy Socks,ziggy-socks-2
Simply Snowflakes,simply-snowflakes-15
A Little Bit of Love Socks,a-little-bit-of-love-socks
Birch Bark and Buds,birch-bark-and-buds
Ryan Socks,ryan-socks
Sweet Tea Socks,sweet-tea-socks-2
Helms Deep,helms-deep-4
Echo Lodge Socks,echo-lodge-socks
Hellebore Socks,hellebore-socks
Timothy Grass,timothy-grass
Cloak Pin Socks,cloak-pin-socks
Nor'easter Socks,noreaster-socks
Thulite,thulite
Helix Hosiery,helix-hosiery
Sirocco Socks,sirocco-socks
Mary Bennet Socks,mary-bennet-socks
Stratum Socks,stratum-socks
Lavish Legato Socks,lavish-legato-socks
Quinata Socks,quinata-socks
Classy Baby Socks,classy-baby-socks
Mia Socks,mia-socks-2
Eat Your Greens,eat-your-greens-2
Karma Socks,karma-socks
Vinifera Socks,vinifera-socks
Flame Wave Socks,flame-wave-socks
Dalarna,dalarna
Rib and Cable Socks,rib-and-cable-socks
Laila's Socks,lailas-socks
# 203 Easy Children's Socks,-203-easy-childrens-socks
Eleanor,eleanor
Peak Experience (AC-49),peak-experience-ac-49
Cherry Blossom Socks,cherry-blossom-socks
House Socks,house-socks
Rhodie Gus,rhodie-gus
Whisper Rib & Shepherd's Lace Socks,whisper-rib--shepherds-lace-socks
St Peter Port Stripes,st-peter-port-stripes
Tofutsies Serenity Sock,tofutsies-serenity-sock
Spanish Dancer Socks,spanish-dancer-socks
Marie Antoinette Sock,marie-antoinette-sock
Taffy Ripple Socks,taffy-ripple-socks
Socks for Aidan,socks-for-aidan
Valentine's Socks,valentines-socks
Moon River Socks,moon-river-socks
Burning Rings of Fire,burning-rings-of-fire
Reina (fingering version),reina-fingering-version
Pink Ribbon Socks,pink-ribbon-socks
Simplicity,simplicity
Rainbow Swirl Socks,rainbow-swirl-socks
Flying Arrows Socks,flying-arrows-socks
Lizard Ridge Socks,lizard-ridge-socks
Lightweight Sock on 2 Circulars,lightweight-sock-on-2-circulars
Socks à la Carte,socks-a-la-carte
#03 Marlene,03-marlene
Snowflakes Sock,snowflakes-sock
Evergreen Socks,evergreen-socks-2
Sock it to Me!,sock-it-to-me-2
Make-Up Socks,make-up-socks
On The Town,on-the-town-2
Sibling Socks,sibling-socks
Moss Stitch Made Fabulous,moss-stitch-made-fabulous
Basic Toe-Up Socks,basic-toe-up-socks-4
Royal Winter,royal-winter
Cinder Block Sock,cinder-block-sock
Cenotes Socks,cenotes-socks
Dandi-Fluff socks,dandi-fluff-socks
Self Striping Toe Up Socks,self-striping-toe-up-socks
Pacific Coast Toe Up Socks,pacific-coast-toe-up-socks
"Paris, 1919",paris-1919
Western Wear,western-wear
Karl's Socks,karls-socks
Interrupted,interrupted
Isabella D'Este,isabella-deste
Wool-Ease Basic Socks,wool-ease-basic-socks
A Dragonfly's Garden,a-dragonflys-garden
Travelling Socks,travelling-socks-2
Handsome Men's Slipper Socks,handsome-mens-slipper-socks
Shamrock Socks,shamrock-socks
Lingonberry,lingonberry-2
Got Twist?,got-twist
Bombadil Socks,bombadil-socks-2
Extra Large Socks for Swollen Feet,extra-large-socks-for-swollen-feet
Mellow Cables - Anomiya Series,mellow-cables---anomiya-series
Blue Tranquility,blue-tranquility-2
Hearthsong,hearthsong
Cimorene,cimorene
Cataphyll,cataphyll
A Flock For Your Feet,a-flock-for-your-feet
Bricks'n Braid,bricksn-braid
Snakes in the Grass Socks,snakes-in-the-grass-socks
Garden Patch Socks,garden-patch-socks
The Password is Swordfish,the-password-is-swordfish
Thaw Socks for Fish Lips Kiss Heel (FLK),thaw-socks-for-fish-lips-kiss-heel-flk
Relax at Home Knit Socks,relax-at-home-knit-socks
Ohm,ohm
Rozanna's socks,rozannas-socks
Black Purls,black-purls
Rose Vines Socks,rose-vines-socks
Hieroglyphic Socks,hieroglyphic-socks
Clue Sock,clue-sock
Barrel Riders Sock,barrel-riders-sock
Traversus Socks,traversus-socks
Do You Want To Build A Snowman?,do-you-want-to-build-a-snowman
"Procrastinatrix Socks, Toe Up",procrastinatrix-socks-toe-up
Nobody Puts Baby In A Corner,nobody-puts-baby-in-a-corner
Autumnal Bohus Socks,autumnal-bohus-socks
Sole Train,sole-train
Easter Socks (Sock Hop),easter-socks-sock-hop
Mad About The Gals,mad-about-the-gals
Tea.  Earl Grey.  Hot.,tea-earl-grey-hot-2
Queen Lucy the Valiant,queen-lucy-the-valiant
Cousteau Socks,cousteau-socks
Enduring Stripes,enduring-stripes
Schoolhouse Socks,schoolhouse-socks
Lemino Socks,lemino-socks
Oceana Socks,oceana-socks
Buckhorn Socks,buckhorn-socks
Buttonjar’s Basic Sock,buttonjars-basic-sock
Helix Socks,helix-socks-2
Neverland and Oz,neverland-and-oz
Stepping Into Fall,stepping-into-fall
Faux Cable Lace Socks,faux-cable-lace-socks-2
Morning Fog Socks,morning-fog-socks
Jack of the Green,jack-of-the-green
Twisted Madness,twisted-madness
Beer Stein Socks,beer-stein-socks
Summer Splash,summer-splash-3
Cozy House Socks,cozy-house-socks-2
Looking Forward Looking Back,looking-forward-looking-back
Ifthen Socks,ifthen-socks
Ridgeview Socks,ridgeview-socks
Boot Camp Socks,boot-camp-socks
Dobby's Christmas Socks,dobbys-christmas-socks
Puget Sound Socks,puget-sound-socks
Textured Lace Socks,textured-lace-socks
Pump Room Parade Socks,pump-room-parade-socks
Against the Grain Socks,against-the-grain-socks
Creeping Vine Socks,creeping-vine-socks
Winding Socks,winding-socks
Reindeer Hooves,reindeer-hooves
Dodson Socks,dodson-socks
Glymur,glymur-3
Winter Light Socks,winter-light-socks
Vanilla Rum Custard,vanilla-rum-custard
Solstice Socks,solstice-socks-3
In a Jiffy,in-a-jiffy
Book Stash Socks,book-stash-socks
Humbug Socks,humbug-socks
Holly Socks,holly-socks
Luck of the Mods,luck-of-the-mods
May 2020 Mystery KAL - Simple Sock,may-2020-mystery-kal---simple-sock
Refresh,refresh-4
Reflecting Pool Socks,reflecting-pool-socks
The Water Lily Pond,the-water-lily-pond
Royalton,royalton
Sweet Dumplin' Socks,sweet-dumplin-socks
Cervidae,cervidae
Gallifrey,gallifrey-2
Rumphius Socks,rumphius-socks
Little Love Socks,little-love-socks
Margo Socks,margo-socks
Everyday Holly Socks,everyday-holly-socks
Trick Socks,trick-socks
Elemental Socks SKA MKAL,elemental-socks-ska-mkal
Nostalgia Socks,nostalgia-socks-2
Saigon,saigon
For Joy & Comfort,for-joy--comfort
Sidewalk Socks,sidewalk-socks
Mermaid Warrior,mermaid-warrior
Bandon,bandon-4
Bookish Socks,bookish-socks
Pine Trails Socks,pine-trails-socks
Beth Finds the Palace Beautiful,beth-finds-the-palace-beautiful
Runaround Socks,runaround-socks
Mini Mermaid Tail Socks,mini-mermaid-tail-socks
Iowa,iowa-2
Perspectives Socks,perspectives-socks
Positivity Socks,positivity-socks
Domovoi Socks,domovoi-socks
Sophia Socks,sophia-socks
Wayfinder's Rest,wayfinders-rest
Frontosa Striped Socks,frontosa-striped-socks
Rayas Socks,rayas-socks
Ophelia,ophelia-19
Mountain's Call Socks,mountains-call-socks
Padded Hiking Socks,padded-hiking-socks
Stained Glass Rain,stained-glass-rain
Luthien Socks,luthien-socks
Cosmic Latte Socks,cosmic-latte-socks
Georgia,georgia-28
Granny Knocks Your Socks Off,granny-knocks-your-socks-off
Sensory Deprivation Socks,sensory-deprivation-socks
Funfetti Socks,funfetti-socks
Home on the Range Socks,home-on-the-range-socks
Para Normal Sock-a-long,para-normal-sock-a-long
Astrophage Socks,astrophage-socks
Lindal Boot Sock,lindal-boot-sock
Garlands & Baubles Socks,garlands--baubles-socks
Mountaintop Socks,mountaintop-socks
Love All Around ♥,love-all-around-
A Good Sock,a-good-sock
Moongate,moongate
Braided Quintessence,braided-quintessence
Refract Socks,refract-socks-2
Game On Socks,game-on-socks
Francesca,francesca-16
Slopestyle Socks,slopestyle-socks
Arachnotoebia Socks,arachnotoebia-socks-2
Weekend Lounging Socks,weekend-lounging-socks
Snow Cone Socks,snow-cone-socks
Kate Sheffield,kate-sheffield
Naughty or Nice Socks,naughty-or-nice-socks
Thufir Hawat,thufir-hawat
Moonrise Socks,moonrise-socks
Estonian Puppet Sock,estonian-puppet-sock
Make a PEEP Socks,make-a-peep-socks
Libelle Socks,libelle-socks
Cherry Cordials,cherry-cordials
Hisaishi,hisaishi
Field of Wheat Socks,field-of-wheat-socks
Dahha,dahha
Shai-Hulud,shai-hulud
Cuff-Down Tweed Socks,cuff-down-tweed-socks
Infant's Fancy Silk Sock,infants-fancy-silk-sock
Fancy Silk Sock for a Child of 5 or 6 years,fancy-silk-sock-for-a-child-of-5-or-6-years
New England,new-england
Traveler's Stocking,travelers-stocking
Queen of Cups,queen-of-cups
Unst,unst
Santa Fe,santa-fe
More Fun Than Cables Socks,more-fun-than-cables-socks
Nagini,nagini
Leaves of Whimsy,leaves-of-whimsy
Ocean-Toes,ocean-toes
Minerva's Argyles,minervas-argyles
Toe Up Heel Flap Baby Socks,toe-up-heel-flap-baby-socks
Ironwork Socks,ironwork-socks
Reims Stockings,reims-stockings
Fountain Foxgloves - Foxglove,fountain-foxgloves---foxglove
Varsity,varsity
H Sock,h-sock
Big Basin,big-basin
Koi Socks from The Koi Collection,koi-socks-from-the-koi-collection
Stripy Socks,stripy-socks-3
Quite Contrary,quite-contrary
buttercupia: Noro Entrelac Socks,buttercupia-noro-entrelac-socks
Ziggy,ziggy-4
River of Life Socks,river-of-life-socks
Knotty or Knice Socks,knotty-or-knice-socks
Lucky Bamboo,lucky-bamboo-3
Escher Socks,escher-socks
Slant,slant
Saxon Braid Socks,saxon-braid-socks
Spiral Galaxy,spiral-galaxy
Broken Chocolate Bar Socks,broken-chocolate-bar-socks
Rock-A-Bye,rock-a-bye-2
Ellington Socks,ellington-socks
Cabin Socks,cabin-socks
Kaiso,kaiso
Pyroclastic,pyroclastic
Gansey Girl,gansey-girl
Basket Case Socks,basket-case-socks-3
Ode to Frogs and The Pond (Frog Pond Socks!),ode-to-frogs-and-the-pond-frog-pond-socks
John's Short Footies,johns-short-footies
Anemochory,anemochory
"Black Tie, Optional",black-tie-optional
Passerine Socks,passerine-socks
Sockstravaganza,sockstravaganza
Lancaster County Blend,lancaster-county-blend
TDTU Vanilla Sock,tdtu-vanilla-sock
Colorful Knit Kids Socks,colorful-knit-kids-socks
Truckle,truckle
Stripes Alive!,stripes-alive
Mastermind,mastermind
2 @ Time Toe up Socks on Magic Loop for Beginners,2--time-toe-up-socks-on-magic-loop-for-beginners
58 Chevy Socks,58-chevy-socks
Dragon Scale Socks,dragon-scale-socks
Wan Jai Socks,wan-jai-socks
Slip-n-Slide,slip-n-slide
Ladders And Lace Toe Up Socks,ladders-and-lace-toe-up-socks
Sock Theory (48 sts),sock-theory-48-sts
Interlocked ,interlocked
Rambles Socks,rambles-socks
Golly,golly-2
Rubus suberectus Socks,rubus-suberectus-socks
Baby Ribs Socks,baby-ribs-socks
Link Socks,link-socks
Ribby Holiday Socks,ribby-holiday-socks
Sock Opus,sock-opus-2
Well Spotted,well-spotted
Java Crazed Pyro Socks,java-crazed-pyro-socks
McIntosh Boot Socks,mcintosh-boot-socks
Fretful,fretful
Tenement Socks,tenement-socks
Metopsilus porcellus Sock,metopsilus-porcellus-sock
Steve's Tweed Toe Up Socks,steves-tweed-toe-up-socks
Beginner Socks Magic Loop variation,beginner-socks-magic-loop-variation
Beanpole,beanpole
Cable Classic Sox,cable-classic-sox
Azurea Socks,azurea-socks
Afterthought Heel Socks in Multiple Gauges,afterthought-heel-socks-in-multiple-gauges
Geometry Socks,geometry-socks
TV Time Socks,tv-time-socks
The Green Thumb Skipped Me,the-green-thumb-skipped-me
Neldoreth,neldoreth
Striped Crew Sock,striped-crew-sock
Thorin,thorin
Roll the Bones,roll-the-bones
Shazbat,shazbat
The Sign of the Prancing Pony,the-sign-of-the-prancing-pony
Grille,grille
To Finland with Love,to-finland-with-love
Soul Garden Socks,soul-garden-socks
Buttercup's Heroes,buttercups-heroes
The Falls of Rauros,the-falls-of-rauros
White Walkers,white-walkers
Triple Threat Socks,triple-threat-socks
Camellia Socks,camellia-socks
Pandora's Box Socks,pandoras-box-socks
Far Into the Forest,far-into-the-forest
Barn Swallow Socks,barn-swallow-socks
Meera and Jojen,meera-and-jojen
Easy Going Socks,easy-going-socks
Knock Knock Knock,knock-knock-knock
Hatshepsut,hatshepsut
Stolen Moments,stolen-moments
Acropolis Socks,acropolis-socks
Collina Socks,collina-socks
Ripple Ribbed Socks,ripple-ribbed-socks
Instant Coffee Socks,instant-coffee-socks
Imagine All the People,imagine-all-the-people
Some Enchanted Evening,some-enchanted-evening-3
Cabled Hearts Socks,cabled-hearts-socks
Cuarzo Rosa Socks,cuarzo-rosa-socks
Blown Away,blown-away
Knot Tuned Symphony,knot-tuned-symphony
Love's Keen Sting,loves-keen-sting
Spilled Crayons,spilled-crayons
Battle of Wills,battle-of-wills
Glaring Socks,glaring-socks
Running Bond Bricks Socks,running-bond-bricks-socks
Trust Fall,trust-fall
Jewelcrafted Socks,jewelcrafted-socks
Whitethorn Socks,whitethorn-socks
Picnic Basket Socks,picnic-basket-socks
Wingardium Leviosa,wingardium-leviosa
Hen House Socks,hen-house-socks
Extra Whip Socks,extra-whip-socks
Basic Serenity Sock,basic-serenity-sock
Teak Socks,teak-socks
Bijou Socks,bijou-socks-2
Sweet Slipper Socks,sweet-slipper-socks
Lori's Basic Toe Up Socks,loris-basic-toe-up-socks
Cozy Natural Socks,cozy-natural-socks
Cable Ridge Socks,cable-ridge-socks
Tea Leaves Socks,tea-leaves-socks
Vinca Socks,vinca-socks
Buckskin Joe Socks,buckskin-joe-socks
Komorebi Socks,komorebi-socks
Spooky Socks,spooky-socks
Stone Harbor,stone-harbor
Flowed,flowed
Turtle Tracks,turtle-tracks-4
It'll Be Fine,itll-be-fine
Kathryn Gail,kathryn-gail
Honeydukes Socks,honeydukes-socks
Lallybroch,lallybroch-2
Interweaving Socks,interweaving-socks
Step Lightly,step-lightly
Helianthus Socks,helianthus-socks
Slip-n-Slide,slip-n-slide-3
Bee Kind Socks,bee-kind-socks
Scrambled,scrambled
Ribb-Party,ribb-party
Howl Socks,howl-socks
Order to Chaos,order-to-chaos
Got to Roll Me,got-to-roll-me
Clan MacKenzie Boot Socks,clan-mackenzie-boot-socks
Kindred Spirits,kindred-spirits-2
Piped Socks,piped-socks
Funfetti Fade Socks,funfetti-fade-socks
Hadau a Cheblau,hadau-a-cheblau
Hexisocks,hexisocks
Curves Ahead Socks,curves-ahead-socks
Wisp Socks,wisp-socks
Bore Tide Socks,bore-tide-socks
Flower Gathering Socks,flower-gathering-socks
Jeepers Socks,jeepers-socks
Riverine Socks,riverine-socks
